dataset_name,split,column,missing_count,missing_rate
propbank_srl_seq2seq,train,prompt,0,0.0
propbank_srl_seq2seq,train,response,0,0.0
propbank_srl_seq2seq,validation,prompt,0,0.0
propbank_srl_seq2seq,validation,response,0,0.0
task1519_qa_srl_question_generation,test,input,0,0.0
task1519_qa_srl_question_generation,test,output,0,0.0
task1519_qa_srl_question_generation,test,id,0,0.0
task1519_qa_srl_question_generation,train,input,0,0.0
task1519_qa_srl_question_generation,train,output,0,0.0
task1519_qa_srl_question_generation,train,id,0,0.0
task1519_qa_srl_question_generation,valid,input,0,0.0
task1519_qa_srl_question_generation,valid,output,0,0.0
task1519_qa_srl_question_generation,valid,id,0,0.0
task1520_qa_srl_answer_generation,test,input,0,0.0
task1520_qa_srl_answer_generation,test,output,0,0.0
task1520_qa_srl_answer_generation,test,id,0,0.0
task1520_qa_srl_answer_generation,train,input,0,0.0
task1520_qa_srl_answer_generation,train,output,0,0.0
task1520_qa_srl_answer_generation,train,id,0,0.0
task1520_qa_srl_answer_generation,valid,input,0,0.0
task1520_qa_srl_answer_generation,valid,output,0,0.0
task1520_qa_srl_answer_generation,valid,id,0,0.0
qa_srl_promptsource,test,sentence,0,0.0
qa_srl_promptsource,test,sent_id,0,0.0
qa_srl_promptsource,test,predicate_idx,0,0.0
qa_srl_promptsource,test,predicate,0,0.0
qa_srl_promptsource,test,question,0,0.0
qa_srl_promptsource,test,answers,0,0.0
qa_srl_promptsource,test,template_name,0,0.0
qa_srl_promptsource,test,template,0,0.0
qa_srl_promptsource,test,rendered_input,0,0.0
qa_srl_promptsource,test,rendered_output,0,0.0
qa_srl_promptsource,train,sentence,0,0.0
qa_srl_promptsource,train,sent_id,0,0.0
qa_srl_promptsource,train,predicate_idx,0,0.0
qa_srl_promptsource,train,predicate,0,0.0
qa_srl_promptsource,train,question,0,0.0
qa_srl_promptsource,train,answers,0,0.0
qa_srl_promptsource,train,template_name,0,0.0
qa_srl_promptsource,train,template,0,0.0
qa_srl_promptsource,train,rendered_input,0,0.0
qa_srl_promptsource,train,rendered_output,0,0.0
qa_srl_promptsource,validation,sentence,0,0.0
qa_srl_promptsource,validation,sent_id,0,0.0
qa_srl_promptsource,validation,predicate_idx,0,0.0
qa_srl_promptsource,validation,predicate,0,0.0
qa_srl_promptsource,validation,question,0,0.0
qa_srl_promptsource,validation,answers,0,0.0
qa_srl_promptsource,validation,template_name,0,0.0
qa_srl_promptsource,validation,template,0,0.0
qa_srl_promptsource,validation,rendered_input,0,0.0
qa_srl_promptsource,validation,rendered_output,0,0.0
